n_reps Population Init_infected Trans_ratio Intervention_day Trans_ratio_reduction
10 8000 8 1.625 23.5 0.703125
10 3500 9 2.1875 1 0.234375
10 4625 2 1.25 57.25 0.609375
10 5750 4 3.5 51.625 0.09375
10 7625 5 0.875 29.125 0.0
10 3875 4 2.9375 6.625 0.5625
10 3125 10 1.4375 79.75 0.328125
10 7250 8 3.3125 74.125 0.46875
10 5000 6 2.0 46 0.375
10 2000 3 2.375 68.5 0.046875
10 6500 2 1.8125 91 0.515625
10 5375 9 2.75 34.75 0.140625
10 4250 7 0.5 40.375 0.65625
10 2375 6 3.125 62.875 0.75
10 6125 7 1.0625 85.375 0.1875
10 6875 1 2.5625 12.25 0.421875
10 2750 3 0.6875 17.875 0.28125
